sku,barcode
236693,7791290793408
236693,236693
236692,7805000313753
236692,236692
236691,7891150081031
236691,236691
236690,7805000163778
236690,236690
236425,2600030119604
236425,236425
236234,2600030118386
236234,236234
236190,2600030117679
236190,236190
236184,2600030118553
236184,236184
236183,2600030118546
236183,236183
236182,2600030118539
236182,236182
236161,2600030117457
236161,236161
236159,2600030117662
236159,236159
235942,2600030115910
235942,235942
235941,2600030115903
235941,235941
235940,2600030115897
235940,235940
235929,2600030115880
235929,235929
235768,2600030114654
235768,235768
235767,2600030114647
235767,235767
235766,2600030114630
235766,235766
235389,2600030111653
235389,235389
234643,7805660013376
234643,234643
234642,7805660010399
234642,234642
234368,7807333794490
234368,234368
234283,7805040005427
234283,234283
234282,7805040005403
234282,234282
234065,2600030101449
234065,234065
233215,2600030095168
233215,233215
233214,2600030095151
233214,233214
232859,2600030092273
232859,232859
232858,2600030092266
232858,232858
232857,2600030092259
232857,232857
232827,2600030092020
232827,232827
232671,7805040005151
232671,232671
232299,2600030087668
232299,232299
231449,2600030087064
231449,231449
231448,2600030087057
231448,231448
228849,2600030075580
228849,228849
228848,2600030075573
228848,228848
228811,7804625040181
228811,228811
228810,7804625040068
228810,228810
228552,2600030072565
228552,228552
228551,2600030072558
228551,228551
228550,2600030072541
228550,228550
228549,2600030072534
228549,228549
227763,7806810011327
227763,227763
227762,7804632081351
227762,227762
227761,7804632081986
227761,227761
227760,7804632081092
227760,227760
227555,2600030065161
227555,227555
227388,2600030063822
227388,227388
227387,2600030063815
227387,227387
227386,2600030063808
227386,227386
227385,2600030063792
227385,227385
227376,20066490065
227376,227376
227375,20066490058
227375,227375
227374,20066490041
227374,227374
227373,20066490034
227373,227373
227372,20066490027
227372,227372
227347,7804632082006
227347,227347
227346,7804632080637
227346,227346
227345,7804632081993
227345,227345
227198,2600030063570
227198,227198
227098,7806810010085
227098,227098
227097,7703147180071
227097,227097
227096,7806810014007
227096,227096
227095,7806810014052
227095,227095
227094,7806810015103
227094,227094
227093,7806810002073
227093,227093
227092,7806810011341
227092,227092
227082,2600030061439
227082,227082
227076,2600030061378
227076,227076
227071,2600030061323
227071,227071
227029,2600030061095
227029,227029
226701,2600028048862
226701,226701
226700,2600028048855
226700,226700
226699,2600028048848
226699,226699
226698,2600028048831
226698,226698
226697,2600028048824
226697,226697
226696,2600028048817
226696,226696
226695,2600028048800
226695,226695
226694,2600028048794
226694,226694
226693,2600028048787
226693,226693
226692,2600028048770
226692,226692
226687,7805040005007
226687,226687
226540,2600028047674
226540,226540
226539,2600028047667
226539,226539
226538,2600028047650
226538,226538
226537,2600028047643
226537,226537
226131,7806810017961
226131,226131
225845,7806810016537
225845,225845
225844,7806810016506
225844,225844
225843,2600028043959
225843,225843
225394,3324120006047
225394,225394
225393,3324120000984
225393,225393
225392,8910100316906
225392,225392
225387,2600028039334
225387,225387
225330,7806810004206
225330,225330
225329,7806810017695
225329,225329
225328,7806810017701
225328,225328
225327,7806810017718
225327,225327
225321,8999917560009
225321,225321
225320,9999102001156
225320,225320
225319,8990342010060
225319,225319
225318,742832142533
225318,225318
225317,7804670690621
225317,225317
225316,7804670690195
225316,225316
225315,9999913150029
225315,225315
225314,7804670690164
225314,225314
225313,742832171892
225313,225313
225312,9999916100021
225312,225312
225311,7804670690638
225311,225311
225310,7804670690614
225310,225310
225309,7804670690607
225309,225309
225308,7804670690072
225308,225308
225307,742832308847
225307,225307
225306,9999912600068
225306,225306
225305,7804670690324
225305,225305
225301,8999899820382
225301,225301
225300,8999915570017
225300,225300
225299,8998449443040
225299,225299
225298,8991559403065
225298,225298
225297,8991020204382
225297,225297
225296,8990342000061
225296,225296
225295,7898954158808
225295,7898685860254
225295,225295
225294,8998449442388
225294,225294
225293,7898962150894
225293,225293
225292,742832142540
225292,225292
225291,742832721554
225291,225291
225290,7804670690171
225290,225290
225289,7804670690591
225289,2600028043973
225289,225289
225288,9999912250041
225288,225288
225287,7804670690102
225287,225287
225286,7804670690331
225286,225286
225162,7809808055037
225162,7809808014829
225162,2082003219748
225162,225162
224758,2600028034704
224758,224758
224727,7805040004925
224727,224727
224534,2600028033394
224534,224534
224533,2600028033387
224533,224533
224532,2600028033370
224532,224532
224531,2600028033363
224531,224531
224530,2600028033356
224530,224530
224529,2600028033349
224529,224529
224527,2600028033332
224527,224527
224398,2600028032779
224398,224398
224143,2082003809567
224143,2082003809550
224143,224143
224142,2082003809543
224142,224142
223602,7806810011389
223602,7759998003434
223602,223602
223542,2600028028925
223542,223542
223371,7804609730619
223371,223371
223370,7804609730381
223370,223370
223369,7804609730602
223369,223369
223368,7804609730404
223368,223368
