sku,current_stock,free_stock_value,blocked_stock,blocked_stock_value
100327,0.0,0.0,0.0,0.0
100332,0.0,0.0,0.0,0.0
100339,0.0,0.0,0.0,0.0
100342,0.0,0.0,0.0,0.0
100345,0.0,0.0,0.0,0.0
100350,0.0,0.0,0.0,0.0
100351,0.0,0.0,0.0,0.0
100352,0.0,0.0,0.0,0.0
100355,0.0,0.0,0.0,0.0
100357,0.0,0.0,0.0,0.0
10036,0.0,0.0,0.0,0.0
100361,0.0,0.0,0.0,0.0
100367,0.0,0.0,0.0,0.0
100368,0.0,0.0,0.0,0.0
100370,0.0,0.0,0.0,0.0
100373,0.0,0.0,0.0,0.0
100382,0.0,0.0,0.0,0.0
100383,0.0,0.0,0.0,0.0
100384,0.0,0.0,0.0,0.0
100385,0.0,0.0,0.0,0.0
100386,0.0,0.0,0.0,0.0
100390,0.0,0.0,0.0,0.0
100391,0.0,0.0,0.0,0.0
100420,0.0,0.0,0.0,0.0
100421,0.0,0.0,0.0,0.0
10043,6.0,10544.0,0.0,0.0
100442,0.0,0.0,0.0,0.0
100451,0.0,0.0,0.0,0.0
100454,0.0,0.0,0.0,0.0
100456,0.0,0.0,0.0,0.0
100457,0.0,0.0,0.0,0.0
100478,0.0,0.0,0.0,0.0
100479,0.0,0.0,0.0,0.0
100488,0.0,0.0,0.0,0.0
100505,0.0,0.0,0.0,0.0
100516,0.0,0.0,0.0,0.0
100520,0.0,0.0,0.0,0.0
100525,0.0,0.0,0.0,0.0
100536,0.0,0.0,0.0,0.0
10054,0.0,0.0,0.0,0.0
100544,0.0,0.0,0.0,0.0
100551,0.0,0.0,0.0,0.0
100552,0.0,0.0,0.0,0.0
100555,0.0,0.0,0.0,0.0
100560,0.0,0.0,0.0,0.0
100573,0.0,0.0,0.0,0.0
100580,0.0,0.0,0.0,0.0
100582,0.0,0.0,0.0,0.0
100591,0.0,0.0,0.0,0.0
100598,0.0,0.0,0.0,0.0
100604,0.0,0.0,0.0,0.0
100615,0.0,0.0,0.0,0.0
100631,0.0,0.0,0.0,0.0
100632,0.0,0.0,0.0,0.0
100633,0.0,0.0,0.0,0.0
100635,0.0,0.0,0.0,0.0
100636,0.0,0.0,0.0,0.0
10064,0.0,0.0,0.0,0.0
100642,0.0,0.0,0.0,0.0
100643,0.0,0.0,0.0,0.0
100645,0.0,0.0,0.0,0.0
100647,285.0,602343.0,0.0,0.0
100648,0.0,0.0,0.0,0.0
100649,0.0,0.0,0.0,0.0
10066,0.0,0.0,0.0,0.0
100663,0.0,0.0,0.0,0.0
